Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
K.Murray,1,9/13/20,1,1,23.037,ARI,@,SFO,W 24-20,*,26,40,65,230,1,1,78.1,2,6,5.75,5.13,13,91,7,1,1,6,0,0,0,0,0,0,82,100%,0,0%,0,0%
K.Murray,2,9/20/20,2,2,23.044,ARI,,WAS,W 30-15,*,26,38,68.42,286,1,1,88.3,3,8,7.53,6.87,8,67,8.38,2,2,12,0,0,0,0,0,0,77,100%,0,0%,0,0%
K.Murray,3,9/27/20,3,3,23.051,ARI,,DET,L 23-26,*,23,35,65.71,270,2,3,72.3,1,2,7.71,5,5,29,5.8,1,1,6,0,0,0,0,0,0,65,100%,0,0%,0,0%
K.Murray,4,10/4/20,4,4,23.058,ARI,@,CAR,L 21-31,*,24,31,77.42,133,3,0,116.7,1,0,4.29,6.23,6,78,13,0,0,0,1,1,0,0,0,0,57,100%,0,0%,0,0%
K.Murray,5,10/11/20,5,5,23.065,ARI,@,NYJ,W 30-10,*,27,37,72.97,380,1,1,103.4,1,11,10.27,9.59,9,31,3.44,1,1,6,0,0,0,0,0,0,75,99%,0,0%,0,0%
K.Murray,6,10/19/20,6,6,23.073,ARI,@,DAL,W 38-10,*,9,24,37.5,188,2,0,93.7,1,11,7.83,9.5,10,74,7.4,1,1,6,0,0,0,0,0,0,62,100%,0,0%,0,0%
K.Murray,7,10/25/20,7,7,23.079,ARI,,SEA,W 37-34,*,34,48,70.83,360,3,1,104.5,0,0,7.5,7.81,14,67,4.79,1,1,6,2,0,0,1,-2,0,84,100%,0,0%,0,0%
K.Murray,8,11/8/20,8,9,23.093,ARI,,MIA,L 31-34,*,21,26,80.77,283,3,0,150.5,1,19,10.88,13.19,11,106,9.64,1,1,6,1,1,0,0,0,0,69,100%,0,0%,0,0%
K.Murray,9,11/15/20,9,10,23.1,ARI,,BUF,W 32-30,*,22,32,68.75,245,1,1,88.7,3,9,7.66,6.88,11,61,5.55,2,2,12,0,0,0,0,0,0,73,100%,0,0%,0,0%
K.Murray,10,11/19/20,10,11,23.104,ARI,@,SEA,L 21-28,*,29,42,69.05,269,2,0,102.2,3,12,6.4,7.36,5,15,3,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
K.Murray,11,11/29/20,11,12,23.114,ARI,@,NWE,L 17-20,*,23,34,67.65,170,0,1,67,2,10,5,3.68,5,31,6.2,0,0,0,0,0,0,0,0,0,73,99%,0,0%,0,0%
K.Murray,12,12/6/20,12,13,23.121,ARI,,LAR,L 28-38,*,21,39,53.85,173,3,1,80.4,2,33,4.44,4.82,5,15,3,0,0,0,2,1,0,0,-1,0,64,100%,0,0%,0,0%
K.Murray,13,12/13/20,13,14,23.128,ARI,@,NYG,W 26-7,*,24,35,68.57,244,1,0,97.8,1,13,6.97,7.54,13,47,3.62,0,0,0,1,0,0,1,0,0,79,100%,0,0%,0,0%
K.Murray,14,12/20/20,14,15,23.135,ARI,,PHI,W 33-26,*,27,36,75,406,3,1,127.8,1,9,11.28,11.69,8,29,3.63,1,1,6,2,1,0,0,0,0,68,100%,0,0%,0,0%
K.Murray,15,12/26/20,15,16,23.141,ARI,,SFO,L 12-20,*,31,50,62,247,0,1,66,3,17,4.94,4.04,8,75,9.38,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%
K.Murray,16,1/3/21,16,17,23.149,ARI,@,LAR,L 7-18,*,8,11,72.73,87,0,0,95.6,2,16,7.91,7.91,2,3,1.5,0,0,0,0,0,0,0,0,0,25,47%,0,0%,0,0%
